given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
 yana, curry,11, morrison street, huntlywood, terrigal,4301, nsw,19501215,1307757,<=50K
 oliver, martinic,155, currie crescent, denny downs, bundeena,4075, nsw,19410630,7963593,<=50K
 daniel, bishop,49, ibis street, brentwood vlge, maryborough,4556, nsw,19490725,1055497,<=50K
 grace, reid,7, river street, killarney, windang,2443, nt,19060130,4156933,<=50K
 kyle, novotny,86, mahon place, rowethorpe, rose bay,4170, qld,19170401,3910434,<=50K
 blake, mason,41, dalrymple street, sunnybank garden, woree,4122, qld,19501110,6027819,<=50K
 aidan, michelmore,9, howitt street, wollangambe, buninyong,3198, qld,19890419,7767759,<=50K
 travis, mitchel,13, northbourne avenue, hse 42, caulfield,6065, qld,19520519,1445582,<=50K
 ellen, hemmings,415, berra close, marooda stud, preston,2072, vic,19680411,6755432,>50K
 layla, lante,25, galbu place, camden, coonabarabran,6110, nsw,19570430,5309135,<=50K
 owen, allik,59, davidstreet, kyree, bellmont,2145, qld,19571012,7593251,<=50K
 benjamin, adair,24, wollaston place, jemalong retrmnt vlge, redbank plains,4700, vic,19050907,7867478,<=50K
 benjamin, thorpe,9, ahern place, rosetta village, pinjarra,3175, nsw,19310104,2585810,<=50K
 jade, ulrick,4, julia flynn avenue, yoorana, cabramtta,2545, nsw,19210119,7244498,<=50K
 jake, tuckwell,30, maclachlan street, melrose farm, orange,6054, vic,19291124,2015262,>50K
 alicia, reid,12, kater place, bedarra, bulimba,3350, qld,19820427,6164520,<=50K
 ethan, brooker,20, rounsevell street, egerton, the entrance north,4680, wa,19880618,1584458,>50K
 archer, hingston,4, connor place, inglewood, arundel,5089, qld,19611130,7946258,<=50K
 chloe, de sciscio,21, larcombe crescent, muralappi, lilydale,4101, qld,19110820,5891466,<=50K
 georgia, nguyen,221, hanretty place, narraburra lodge, hawkwood,4109, nsw,19620311,6166273,<=50K
 jamie, trent,90, namatjira drive, eventide homes, bayonet head,2628, qld,19380523,2759458,<=50K
 bailee, mccarthy,15, tubb place, glenavon, belgrave,6158, vic,19230520,9821084,<=50K
 alia, tunstall,12, blamey crescent, billycreek farm, phillip,3688, wa,19880120,7538513,<=50K
 trey, held,19, holman street, kookaburray village, peregian beach,5266, nsw,19520113,6172652,>50K
 tara, ryan,10, sumnerplace, arlin tgon, kingsford,6155, vic,19210427,4694259,<=50K
 toby, mcvilly,2, allott place, loccn 7229, coldstream,3193, vic,19731125,5292300,<=50K
 freya, canton,9, lyttleton crescent, riversdale caravan park, bourke,2250, nsw,19990804,3042449,<=50K
 caitlni, goode,72, yuranigh court, gummy gully, maryborough,5048, nsw,19020814,9528295,<=50K
 joel, green,42, mighell place, st james, hoppers crossing,4215, wa,19900427,8652393,<=50K
 amber, brangwen,1, shackleton circuit, evergreen, hackham,6707, sa,19690905,7925975,<=50K
 nicholas, lette,9, keith street, brentwood vlge, moruya,5081, qld,19330827,5299189,>50K
 sarah, ellston,17, sherlock street, sorrento, byford,2036, nsw,19230806,9511232,<=50K
 rebecca, crofts,43, rosman circuit, lesma, brighton-le-sands,4820, qld,19730421,6722241,<=50K
 jordan, dolan,389, kirkham place, tobruk hse, broken hill,4217, nsw,19601105,5724113,>50K
 isabelle, jolly,166, hodges street, bosmit, thornlie,3163, wa,19050126,2719590,<=50K
 rhys, speight,5, hyndes crescent, scalabrini vlg, colac,4007, qld,19460101,6773164,<=50K
 lauren, clarke,9, howe crescent, carinya lodge, centennial park,2903, qld,19791015,9001302,<=50K
 wil, aesche,19, perrin circuit, underwood, hawthorn,5067, vic,19370109,7592636,<=50K
 stephanie, wieloch,42, stone place, medical centre, north rocks,2324, vic,19180822,5883037,>50K
 adam, negash,42, handasyde street, apt 211, illabo,7320, vic,19991022,6651494,<=50K
 nicholas, wisby,11, staunton place, the lodge, ballarat,4218, vic,19791005,3723611,<=50K
 teagan, faull,55, mcwhae circuit, yarrabee, bouvard,6168, wa,19010802,9148303,<=50K
 oliver, lombardi,3, lhotsky street, valencia park, thornlie,2880, qld,19160110,8487767,<=50K
 christian, manson,1, martens crescent, caprice, corio,5251, nsw,19790516,8216634,<=50K
 alice, morrison,153, rosebery gstreet, heritagemanor est, port macquarie,5075, vkc,19880610,1896150,<=50K
 bethanie, priest,15, musgrave street, geebnng, blacktown,3675, nsw,19950922,5033370,<=50K
 joshua, stephenson,87, mataranka street, unt 3, bundaberg,3184, vic,19600912,8847803,<=50K
 thomas, mcmullen,12, anne clark avenue, dennington, paralowie,3943, qld,19580414,1472827,>50K
 dakota, eves,32, hutchison crescent, bullarook park stud, barwon heads,3162, nsw,19870106,5350965,<=50K
 brianna, riding,530, musgrave street, paddington place, new farm,2516, vic,19110206,5738499,<=50K
 jack, dunstone,62, beaurepaijr crescent, ewinga, burwood east,3690, nsw,19040718,3406398,>50K
 jassim, bahgat,4, meares place, silver shore qa cravan park, condon,3037, qld,19031021,5434533,<=50K
 isabelle, clarke,78, tristania street, bayview towers, sanctuary point,2250, wa,19640312,9935714,<=50K
 hannah, wang,87, ashkanasy crescent, wildefell, st kilda east,3173, nsw,19370227,4465115,<=50K
 isabella, yu,50, charteris crescent, banyula retirement village, bassendean,3061, qld,19621114,7333955,<=50K
 elizabeth, epari,1, stewart crescent, tallinga park, sheffield,6030, vic,19090414,6234709,<=50K
 joshua, imgraben,3, currong street, citi centre, taringa,2350, nsw,19951105,3130101,<=50K
 abbry, purtell,206, lomatia place, northbank caravan park, seymour,4130, nsw,19540518,4803304,<=50K
 holly, golder,16, investigator street, kings apmts, ardrossan,2560, nsw,19151123,2668002,>50K
 logan, chandler,99, sargeant place, yarrambah, mosman,2260, qld,19900929,6090598,<=50K
 brooklyn, gowling,60, ellwood crescent, brokenspoke, scarborough,3122, qld,19361227,9354039,<=50K
 matilda, madugan,28, john cleland crescent, ponderossa, westfield,2135, tas,19301107,5084817,<=50K
 rees, india,25, waterfield place, john flynn m edical centre, brunswick west,5014, qld,19400318,1262198,<=50K
 brianna, campbell,125, strzelecki crescent, argyle village, dorrigo,4306, act,19040616,8403198,<=50K
 hana, browne,76, haly place, rosebery hill, gordonvale,4215, vic,19190415,4851919,>50K
 caleb, charman,55, wettenhall circuit, garden settlement, waterloo,2319, nsw,19980604,2594163,<=50K
 jemmah, ryan,175, attiwell cibrcuit, medical centre, old bar,2170, tas,19080812,1482721,<=50K
 benjamin, boyle,44, balonne street, marina one, frankston,4221, nsw,19841019,4719624,<=50K
 alana, webb,7, namadgi circuit, oora park, hoppers crossing,3186, qld,19970516,9456687,<=50K
 benjamin, white,50, dann close, yackatoon rtrmnt vlge, north ryde,2250, nsw,19160905,2192670,<=50K
 aimee, parkitny,7, burdekin avenue, greenbushes-boyup, warneet,2340, vic,19101225,8544642,<=50K
 alana, brammy,167, newlop street, glenavon, mcmahons point,2611, nsw,19030212,5844282,<=50K
 barnaby, hand,17, julia flynn avenue, glenross, para hills,3116, vic,19170607,5375355,<=50K
 shelbey, hanna,95, burkitt street, villa 724 henry kendall vlge, dirranbandi,3414, nsw,19240126,6563591,<=50K
 grace, morrison,82, brigden crescent, the willows, new farm,6233, qld,19710909,1081266,>50K
 tara, greemn,34, marston place, tiverton, point cook,4807, vic,19860816,4388415,<=50K
 max, rolins,418, buvelot street, jarroo, kununurra,5086, act,19510128,7142314,>50K
 natalia, herbert,171, degraves crescent, camusfearna, maude,6163, nsw,19910530,8559231,<=50K
 eliza, astley,39, greene place, loyt 19, coolaroo,2430, tas,19190330,5908975,<=50K
 kaitlin, ryan,3, woronora street, swanlea, northgate,2151, vic,19290605,7545389,<=50K
 amy, jolly,24, freshford, karlea, hoppers crossing,7170, tas,19170228,1175782,>50K
 matilda, madigan,28, john cleland crescent, ponderossa, westfield,2135, tas,19301107,5084817,<=50K
 joe, clarke,172, crowder circuit, the mall springwood, blackburn north,4021, nsw,19920410,5126609,<=50K
 brock, dixon,30, bannerman place, willandra, ballarat,2144, qld,19431111,5526877,>50K
 thomas, nadels,6, cossington smith crescent, kyeema, sunshine,4701, vic,19541226,2219723,>50K
 christopher, hering,82, raymond street, park trees vlge, springwood,2357, qld,19261025,6221188,<=50K
 harry, noble,72, allan street, karinga park, narellan,3128, wa,19690920,1023892,<=50K
 alex, brazzalotto,44, lanley square, council accomm, warnbro,3167, vic,19971201,8518170,<=50K
 toby, bahnisch,20, braine street, rp 155232, sandy bay,3758, vic,19140610,8941270,<=50K
 jackson, noack,80, lee-steere crescent, winchester, forest hill,3340, nsw,19130626,5871183,<=50K
 shandril, portlock,4, broadsmith street, wyoming park, carrum,2530, wa,19170409,4396645,<=50K
 tommy, geraghty,22, burkitt street, ellerside, hoppers crossing,7255, nsw,19610813,6310752,<=50K
 declen, kuzmycz,19, damala street, marjidin, burwood,5290, nsw,19070303,7689618,<=50K
 aaron, reid,4, sladen place, alblas hostel, tarragindi,2155, nsw,19620109,7214615,<=50K
 samuel, hannink,3, beazley crescent, cambalong, berriedale,4506, nsw,19820708,6386537,<=50K
 charlotte, allchin,37, alphard place, wallaroi west, dimbopla,4815, sa,19261018,2454246,<=50K
 felicity, bishop,1, rossarden street, lyndon caves, bunbury,4818, act,19380215,5313190,<=50K
 emma, rauch,32, temperley street, mogo goldfields park, quorn,2455, nsw,19110311,6650874,>50K
 mitchell, ryan,7, forwood street, diamond place, robina,2284, nsw,19330202,2436644,<=50K
 kirra, lavender,214, kilby crescent, fairbank, suffolk park,3195, qld,19910715,9925790,>50K
 ella, rawlings,51, therry place, ainslie house, wynyad,3151, nsw,19870312,1757892,<=50K
 joe, white,25, dryandra street, ellanbah, burwood,2204, vic,19140217,8103556,>50K
 madison, rabbitt,21, logan street, the gums, devonport,5068, sa,19770410,2156426,<=50K
 harley, bizjak,8, roughsey place, conmarra, dover gardens,3047, qld,19671030,2461092,<=50K
 charles, toseland,5, ossa place, maroochy palms, forestdale,2646, qld,19010614,6693103,<=50K
 jordan, ryan,94, casson street, middle earth, kirrawee,2121, qld,19410429,5669443,<=50K
 ella, rankine,16, kidston crescent, tulse hill, daisy hill,7008, vic,19900807,7514382,<=50K
 william, mason,79, dooring street, homewood, coober pedy,3444, nsw,19550828,5883572,<=50K
 timothy, webb,31, oliver street, section, st huberts island,3465, nsw,19110712,2751042,<=50K
 ellie, howie,75, osburn drive, wurrami, granville,5152, nsw,19941116,2636575,<=50K
 henry, clarke,157, yirawala street, mungo park, mooloolaba,4650, wa,19770413,1268681,<=50K
 mitchell, berry,7, lubuma place, kookardinia, regents park,6281, sa,19020313,9690398,<=50K
 maxin, rees,6, sherwin place, thane house, mount pleasant,3909, nsw,19200115,4616738,>50K
 madison, ferris,9, hayden close, finis river, newborough east,2282, nsw,19280306,5945505,<=50K
 erin, macgowan,3, coxen street, warrawong, cohuna,2162, nsw,19090414,9168552,>50K
 melinda, granburg,5, eddy crescent, barweng vineyard, mooroolbark,6728, qld,19100418,9800940,<=50K
 jacob, wilud,34, pohlman street, fig trees, raglan,3927, vic,19000320,1836769,<=50K
 dylan, lowe,8, carina street, sec 791, east melbourne,2318, vic,19790809,1277799,<=50K
 jassim, bahgat,4, meares place, silver shore caravan park, condon,3037, qld,19031021,5434533,<=50K
 owen, allik,59, david street, kyree, belmont,2145, qld,19571012,7593251,<=50K
 emma, flatman,141, onkaparinga crescent, north dara, st kilda east,3109, nsw,19800520,6057959,>50K
 kane, carbone,42, risdon place, parkside flats, san remo,4158, nsw,19781008,8437775,<=50K
 ethan, selth,22, kennewell place, watchorns hill, northmead,2010, qld,19161226,4517141,<=50K
 gabriella, weaver,63, meldrum street, currie park hostel, cherrybrook,4221, vic,19610408,2842697,<=50K
 dante, highet,20, groom street, flt 10, ngunnawal,2171, nsw,19440713,6714678,>50K
 alexander, lombardi,19, joel place, winooka, thornlie,3000, wa,19510127,4658253,<=50K
 jack, leaver,11, shann place, caravnp ark, cherrybrook,4301, nsw,19900722,3018635,<=50K
 sam, galgaardt,41, finey close, holmleigh, ryde,2650, nsw,19690501,2871759,<=50K
 mitchell, turale,144, grylls crescent, woodbury, freshwater,2101, vic,19661213,5616712,>50K
 benjamin, royans,3, upton street, mt drysdale, kempsey,2478, wa,19550721,2589979,<=50K
 tori, reid,829, golden grove, cotton tree caravan park, blayney,2076, vic,19250228,6950342,>50K
 tayah, shack,7, conyers street, eulong, coombabah,5107, nsw,19470518,5844848,>50K
 robbie, gilbertson,34, rosman circuit, summer hill, raglan,6009, nsw,19150525,9773955,<=50K
 kaitlin, lainez,101, port arthur street, apt 710, shoalwater,2446, vic,19710903,5748895,<=50K
 alexander, gaden,77, alexander street, barnet brae, koroit,3131, wa,19960319,7241211,<=50K
 daniel, shepherd,33, forbes street, bishops creek, moranbah,2061, vic,19580828,7103479,<=50K
 lauren, lo-sapio,47, chirnside circuit, ainslie house, tweed heads,4500, nsw,19950102,7323703,<=50K
 benjamin, tomney,51, summerville crescent, eden park, davistown,4226, act,19060716,5735764,<=50K
 tyler, croker,14, hemmant street, urambi vlge, maryborough,4215, qld,19940312,3849361,<=50K
 jacqueline, white,6, appel crescent, rothwell, barcaladine,2160, qod,19210208,7690666,<=50K
 thomas, miocevich,15, hart close, abbie hae, point lonsdale,2073, nsw,19911110,1941344,>50K
 tai, snell,25, loddon street, blueberry farm est, south perth,2011, nsw,19271109,7527690,<=50K
 michael, drechsler,18, hodgson crescent, ocean breeze, camperdown,2540, nsw,19680706,2490175,<=50K
 bayden, son,4290, warrambool close, st francis vlge, blacksone,2848, qld,19281012,9100309,<=50K
 kiera, menzies,7, lofty close, tallageris-demijoh, bunbury,2040, sa,19600206,4861790,<=50K
 harry, scannell,65, tolmer place, twenty-third avenue pharmacy (cnr mawarr, mulgrave east,5174, act,19350415,1131584,>50K
 jackson, tertipis,19, pindari crescent, fiveways, nowa nowa,2135, vic,19421209,1348284,<=50K
 natalia, birindzic,34, tryon street, glenburn, abbotsford,6275, nsw,19100727,1565167,>50K
 madison, robson,75, hurry place, trevena, regents park,4720, qld,19030502,4530204,>50K
 jack, maier,207, leah close, rosewood garden, bomaderry,3142, act,19630227,9021684,<=50K
 seamus, berryman,20, bonython street, carnsdale, kogarah,2145, nsw,19600708,2363754,<=50K
 breana, wang,3, kingsbury street, forest hills, bowen hills,2067, sa,19690818,7562061,>50K
 liam, d'addio,6, wakelin circuit, valbella, glenthompson,2120, nsw,19490316,2855465,>50K
 emiily, went,18, glenmaggie street, berkeley vlge, blue haven,6051, vic,19521205,8530937,>50K
 spencer, block,36, lewis luxton avenue, professional centre, flinders park,2643, nsw,19460612,3062312,<=50K
 shephsrdson, jacob,1251, sharwood crescent, abilene, nedlands,3163, vic,19920326,3781457,<=50K
 christian, white,6, ballumbir street, inverneath, dianella,2207, qld,19870325,1570736,<=50K
 benjamin, thiessen,9, augusta court, old cob, reynella,5098, qld,19021031,6928993,<=50K
 lily, wooley,129, streeton drive, mornington, granville,3064, vic,19450304,9764557,<=50K
 joshua, smithson,33, le gallienne street, ponderosa, south perth,6125, sa,19550930,3985161,<=50K
 zachariah, kuhnt,75, finn street, locn 316, mirrabooka,2770, vic,19090525,2605044,<=50K
 jasmine, skeen,10, freda bennett circuit, somerset cottage, bomaderry,2261, qld,19230926,9590659,<=50K
 dante, hand,9, mckillop circuit, hamden place, moama,3137, wa,19990924,3216021,<=50K
 kristo, stanley,477, deamer crescent, channel, macgregor,2010, nsw,19321004,1599068,<=50K
 max, skeen,5, howitt street, cottonwood, moonah west,6061, nsw,19910625,6161021,<=50K
 cooper, green,92, helemon street, north road, plumpton,3074, sa,19341014,9463800,<=50K
 jessica, campbell,5, narambi street, belvedere, leichhardt,5244, qld,19911109,7414580,<=50K
 william, dolan,41, delegate street, urambi vlge, riverhills,2142, wa,19620122,5181347,<=50K
 jack, nicoll,18, freda gibson circuit, tintagel, sanctuary point,2047, qld,19440114,4318182,<=50K
 oliver, nguyen,16, weerona grabben gullen, mann place, woodcroft,4012, wa,19760119,4025649,>50K
 emmet, leaf-milham,89, wheeler crescent, court units, windsor,2015, nsw,19701020,6473827,<=50K
 hudson, vandenbroucke,7, woolls street, wongxamine, east melbourne,3132, vic,19330904,8949891,<=50K
 joshua, godfrey,50, westbury circuit, war veternas hme, mona vale,7250, vic,19150911,1158833,>50K
 harrison, tremellen,215, meerup street, arlington, tweed heads,6025, tas,19240524,5821964,<=50K
 dakota, urosevic,45, kosciusko avenue, byron lodge, narre warre n north,3070, vic,19760701,7882697,<=50K
 nicholas, jiang,36, crozier circuit, villa 3, warranpyte,2083, nsw,19170723,4769955,>50K
 campbell, campbell,30, barringer street, lambar, numeralla,5095, qld,19900227,1125893,<=50K
 holly, kalinowski,26, dumaresq street, mcedwards, sunnybank,4023, nsw,19401027,3978981,<=50K
 samantha, lanyon,53, greenough circuit, glenefer garden, campsie,2143, vic,19261105,3852092,<=50K
 matilda, bloomfield,80, elliott street, bagheera, longreach,2444, vic,19680524,7776000,>50K
 jessica, salt,2, carina street, the stables, berala,6102, nsw,19850122,3378870,<=50K
 alexander, gaden,77, alexander street, barnet brae, korokt,3131, wz,19960319,7241211,<=50K
 tyler, nguyen,34, byles place, kurrajong, vaucluse,5020, vic,19820811,4075656,>50K
 joel, penno,41, chauncy crescent, la rhune, mount evelyn,2480, nsw,19830726,7498683,>50K
 zachariah, kuhndt,75, finn street, locn 316, mirrabooka,2770, vic,19090525,2605044,<=50K
 jacob, rankine,40, gaunson crescent, toora, colac,4701, sa,19810607,7055761,<=50K
 stephanie, dearing,227, dexter street, eulalia, zilzie,3142, nsw,19220712,6412533,<=50K
 hugo, clarke,44, reay place, c/-the student village, ardeer,5047, nsw,19120125,8869813,>50K
 william, bloomfield,40, allambee street, the park, warrandyte,3630, vic,19671007,8311697,<=50K
 joshua, dixon,340, armstrong crescent, horton park, deer park,2263, wa,19550324,7338794,<=50K
 daniella, edgworth,24, mackinnon street, donald coburn lodg, stonyfell,2847, nsw,19221115,4707408,>50K
 cade, campbell,5, tantangara street, yarrabin, devonport,3228, sa,19910915,5245742,<=50K
 kaitlin, callahan,4, tauss place, rainmore, lilydale,6102, nsw,19510429,9533959,<=50K
 olivia, rhyne,20, von guerard crescent, glenmore, berwick,2870, vic,19370301,2665016,<=50K
 felicity, juanta,27, kootingal street, kareela, bowral,4305, vic,19490204,3965834,<=50K
 madison, morrison,28, woollum street, the rocks, dover gardens,3167, nsw,19010628,2758249,<=50K
 jean-claude, hagemann,34, wardell place, utopia, surfers paradise,2224, qld,19201013,8789143,<=50K
 hannah, kyriacou,40, muntz street, berkeley village, beresford,3040, qld,19610930,7067209,<=50K
 kelsy, trevorrow,32, sturgeon street, cannonvale whitsunday shopping centre, bondi junction,4740, vic,19960705,1296078,>50K
 shelby, lionis,356, paterson street, waiweer, peterborough,6530, nsw,19970927,3802005,<=50K
 victoria, lowe,3, hawkesbury crescent, miranda, iluka,2750, nsw,19370408,9256554,<=50K
 mackenzie, mason,85, armstrong crescent, moondah, orange,4352, act,19100307,9742460,<=50K
 haylee, alderman,24, lyttleton crescent, kellys lookout, mosman,3350, wa,19700208,8279114,<=50K
 erin, bahnisch,192, chippindall circuit, the tops, botany,3221, nsw,19721012,7067220,>50K
 andrew, zilm,3, howie court, masonic memorial village, cremorne,6430, nsw,19480319,6749122,<=50K
 logan, selth,147, goyder street, rivonia, queenscliff,2120, tas,19860921,4161322,<=50K
 saralouise, drechsler,60, eugenia street, birrabilla, heathmere,3133, nsw,19800823,9494007,>50K
 lushia, coleman,116, lyttleton crescent, nazareth village, shoalhaven heads,6024, vic,19311018,8610313,<=50K
 mhary, paterson,12, maribyrnong avenue, rosedale, parramatta,2166, vic,19190703,5843579,<=50K
 bianca, reid,7, clifford crescent, retmnt vlge, toronto,3046, nsw,19911230,9930550,<=50K
 alana, howie,54, burkitt street, south macroom, moorabbin,4217, wa,19590112,1534736,<=50K
 thomas, scott-jackson,2, twynam street, yooringa, beauty point,3796, vic,19520204,4468640,<=50K
 will, nevin,52, bradfield street, gowrie, kingsford,4017, nsw,19430903,7404677,<=50K
 joshua, ferris,16, warramoo crescent, rutland park, lakemba,3028, nsw,19800911,7448826,<=50K
 ben, soward,247, tinderry circuit, triton units, old toongabbie,6027, nsw,19301203,1248945,>50K
 david, cannell,5, lexcen avenue, gunnedoo, boyne island,6101, vic,19460825,8555722,<=50K
 stephanie, weetra,41, downard street, holmleigh, nicholls,5556, vic,19530223,2228272,<=50K
 olivia, shepherdson,5, hanretty place, jarrah, west wyalong,2756, tas,19020528,7586308,<=50K
 madeline, jeffries,24, sid barnes crescent, rosetta village, trott park,2011, sa,19731215,4571833,>50K
 zachary, vincent,12, sheehan street, sunnyspot farm, goonellabah,4630, vic,19190809,8727415,<=50K
 oscar, potemapa,6, max henry crescent, ponderoasa, crib point,3029, sa,19280707,3563502,<=50K
 rebecca, talladira,7, john cleland crescent, rushall park, bossley park,2430, nsw,19601213,1744354,>50K
 samuel, manson,41, freda gibson circuit, the swamp, magill,3505, nsw,19730214,4207622,>50K
 sophie, snell,4, vaughan garden, arcadia, hahndorf,2372, tas,19231114,8638391,<=50K
 lachlan, wheatley,30, goodwin street, rosetta village, mount grvaatt,4218, sa,19620815,8894816,>50K
 charlotte, lowe,12, namatjira drive, sectn 6 crown allotment, tabourie lake,4873, nsw,19070807,4938262,<=50K
 henry, dent,60, wilkins street, bega flats, penola,2483, nsw,19460829,8530789,<=50K
 lillian, halladay,6, barber crescent, villa 3, malvern east,2261, vic,19240405,4799994,>50K
 robbie, butt,3, skirving place, rainbow ridge, ellenbrook,2614, nsw,19240911,8676855,>50K
 lauren, mccausland,18, taronga place, glenfine station, cronulla,5573, nsw,19480518,5647776,<=50K
 kyle, nickolai,18, bradfield street, st johns retirement, robertson,2906, sa,19550329,7990227,<=50K
 sonja, fitzpatrick,75, george street, fig trees, inglewood,5038, nsw,19350227,9778972,<=50K
 laura, havelberg,34, woodfull loop, seabank, coldstream,2032, nsw,19220408,5912345,<=50K
 blake, bishop,10, spalding street, walkabout palms, hawthorn,6060, sa,19730929,1175184,<=50K
 charlotte, blakclow,7200, crocker place, inishmore, londonderry,2099, nsw,19240608,5390869,<=50K
 joshua, gilfedder,3, henry street, brentwood village, cleveland,2036, qld,19800623,3198603,<=50K
 trey, held,19, holman street, kookaburra village, peregian beach,5266, nsw,19520113,6172652,>50K
 samuel, clarke,42, moloney close, albeni station, ulverstone,2765, qld,19160219,3317097,<=50K
 meg, feil,17, biraban place, hughloch lincoln red stud, hawthorne,3429, vic,19060812,4027997,<=50K
 kyle, white,52, renmark street, barwalla, kogarah,2087, nsw,19291227,5927014,<=50K
 lachlan, noble,13, enderby street, collier vlge, st kilda,5013, nsw,19560407,6279390,<=50K
 joel, o'shannessy,5, howitt s treet, kilbunrie, devonport,2803, nsw,19490511,4313663,<=50K
 caitlin, lihou,16, miranda place, lambrxok, kingston,6562, vic,19760922,5015894,>50K
 jack, stubbs,17, namatjira drive, apt 211, ingleside,2204, nsw,19571209,6383252,<=50K
 anthony, ryan,5, guthridge crescent, worro downs, chittaway bay,3810, qld,19211114,2217488,<=50K
 lucy, crouch,202, goulburn street, sattwa park, cromer,2096, vic,19400305,1800445,<=50K
 harley, bizjak,8, roughseyxplace, conmurra, dover gardens,3043, qld,19671030,2461092,<=50K
 sarah, reid,1, fihelly strwet, creston, larnook,5162, nsw,19710725,6614340,>50K
 brydee, macphail,57, tuthill fplace, korrelocking, new town,2234, nsw,19841211,9212160,>50K
 konstantinos, nygaard,3, buckley circuit, st agnes vlg, bassendean,7017, vic,19201110,8739495,<=50K
 lachlan, heron,3, alroy circuit, banksia village, north ward,2650, nsw,19780531,5232137,<=50K
 isabella, singleton,10, hannan crescent, telopea park, bundaberg west,4508, qld,19321226,7185188,<=50K
 lily, priest,238, kirkland circuit, lazy acres, yorkeys knob,4017, nsw,19910414,3163740,>50K
 charlotte, grainger,2, hector place, flr 5 john flynn medical centre, lake haven,2756, qld,19460826,3025555,<=50K
 sara-louise, denholm,60, eugenia street, birrabilla, heathmree,3133, nsw,19800823,9494007,>50K
 jaykob, butt,12, elsey street, the mall, kogarah,3440, sa,19821101,9029237,<=50K
 ruby, needham,18, toms crescent, eureka, belgian gardens,6280, nsw,19000929,3880933,<=50K
 timothy, pascoe,17, mialli place, telemon orchards, goonellabah,6330, vic,19500113,2730623,<=50K
 joshua, bradshaw,12, guthridge crescent, water view, blackall,5461, wa,19000102,1237544,<=50K
 darcy, morrison,36, lewis luxtosn avenue, the mews royal hotel bldg, cooks hill,3108, nsw,19170212,6145184,<=50K
 sam, roccatti,3, murranji street, medical centre, childers,5092, qld,19251217,5992497,<=50K
 elise, norrison,23, biddlecombe street, wingar, mitcham,6203, vic,19770819,9705642,<=50K
 lilly, hemmings,10, throsby crescent, never die, armidale,2197, nsw,19650912,7269203,>50K
 william, chandler,31, sturt avenue, neretva, mill park,5051, wa,19020326,8312574,<=50K
 timothy, huxley,14, groom street, kirkcaldy, albury,2570, vic,19471121,8010082,<=50K
 holly, soden,52, skirving place, villa 19, glen william,3199, vic,19230831,1957863,<=50K
 marcus, verco,3, rumbelow court, craigie lea garden, ballarat,5480, vic,19251216,4262069,<=50K
 madison, thiessen,23, de little circuit, the provincial, hawthorne,4019, qld,19011128,4097508,>50K
 kenneth, challenor,50, leist street, north hill medical centre, craigie,3040, vic,19030508,9817988,<=50K
 luka, berry,85, gamban square, kindilan, moorabbin,3215, vic,19780717,8097376,>50K
 jack, shelley,15, phillip avenue, cascades, south west rocks,3177, qld,19541226,3707551,<=50K
 chelsea, hitchzenor,106, shenton crescent, rocklea, brook field,4701, wa,19970114,2038934,>50K
 james, zokaoj,28, webb place, professional centre, seymour,3393, nt,19291117,6336579,<=50K
 benjamin, stephenson,84, builder crescent, lochanbrae, franklin,3939, nsw,19960329,2908406,<=50K
 jake, barbuto,2, denovan circuit, southern cross, hoddles creek,6164, tas,19530627,4891683,<=50K
 olivia, van galen,6, paul coe crescent, oak valley, queenscliff,3012, vic,19191014,3782139,>50K
 erin, ryam,7, jardine street, rocky flat, kaleen,3109, qld,19401111,9499719,<=50K
 kylie, bishop,20, windradyne street, holmwood cottage, st clair,6430, sa,19960818,6179739,<=50K
 christian, morrison,5, rischbieth crescent, wanding, sale,4502, vic,19611108,9282266,<=50K
 channing, rundle,25, fitzherbert place, byron arcade, arana hills,3171, vic,19460203,7674861,<=50K
 catherine, wastell,107, tallara parkway, upper meroo, middleton,5212, nsw,19510118,5135638,<=50K
 kobe, wojciechowski,8, mainwaring rich circuit, lyndale, dapto,2257, qld,19690628,7988369,<=50K
 brody, ausserlechner,16, maclaurin crescent, hse 139, asquith,2102, qld,19591027,8967415,<=50K
 joel, hammer,20, wentworth avenue, argyle, campbelltown,6019, vic,19470312,2383107,<=50K
 emiily, white,21, guthrie street, summit cottage, balwyn north,5112, wa,19900302,9148492,>50K
 jayden, hingston,116, alawa zstreet, longplain, wendouree,3138, qld,19171120,6249338,<=50K
 tarnia, mason,411, eucumbene drive, glenhurst, maryborough,3400, qld,19910721,9963663,<=50K
 andie, sariago,24, callaway crescent, calderwood, wangaratta,3028, nsw,19631228,5826548,<=50K
 isabella, white,4, melba street, shaudell, lower templestowe,3029, wa,19340826,2804586,>50K
 lilian, beckwith,39, cope place, ellerside, east sydney,3018, vic,19450915,1016983,<=50K
 molly, baillie,49, bibby place, chippendale village, greens creek,2131, nsw,19050529,4210252,>50K
 luak, berr,85, kindilan, gambansquare, moorabbin,3215, vic,19780717,8097376,>50K
 katelin, marzec,14, sentry crescent, first avenue, morwell,3033, vic,19891014,8212002,<=50K
 kane, gloster,111, hawken street, bonnie doon, kooyong,4017, tas,19120903,8770240,<=50K
 joshua, guthridge,30, magenta square, uc-dai-loi, ravenshoe,2620, vic,19650131,4036350,<=50K
