index,street_number,postcode,state,date_of_birth,salary-class
401_b,[31-92],[3377-3636],"['nsw', 'sa', 'vic']",[19250214-19360512],>50K
520_b,[31-92],[3377-3636],"['nsw', 'sa', 'vic']",[19250214-19360512],<=50K
907_b,[31-92],[3377-3636],"['nsw', 'sa', 'vic']",[19250214-19360512],>50K
577_b,[6-1721],[3976-4053],"['nsw', 'sa', 'tas']",[19270607-19341111],<=50K
698_b,[6-1721],[3976-4053],"['nsw', 'sa', 'tas']",[19270607-19341111],<=50K
769_b,[6-1721],[3976-4053],"['nsw', 'sa', 'tas']",[19270607-19341111],<=50K
791_b,[6-1721],[3976-4053],"['nsw', 'sa', 'tas']",[19270607-19341111],>50K
971_b,[6-1721],[3976-4053],"['nsw', 'sa', 'tas']",[19270607-19341111],<=50K
397_b,[4-28],[4055-4068],"['sa', 'vic']",[19270607-19280919],<=50K
684_b,[4-28],[4055-4068],"['sa', 'vic']",[19270607-19280919],<=50K
963_b,[4-28],[4055-4068],"['sa', 'vic']",[19270607-19280919],<=50K
82_b,[1-20],[4107-4152],"['qld', 'wa']",[19250617-19290219],<=50K
103_b,[1-20],[4107-4152],"['qld', 'wa']",[19250617-19290219],<=50K
642_b,[1-20],[4107-4152],"['qld', 'wa']",[19250617-19290219],>50K
981_b,[1-20],[4107-4152],"['qld', 'wa']",[19250617-19290219],<=50K
403_b,[34-57],[4127-4178],['nsw'],[19320411-19340907],<=50K
417_b,[34-57],[4127-4178],['nsw'],[19320411-19340907],<=50K
970_b,[34-57],[4127-4178],['nsw'],[19320411-19340907],>50K
984_b,[34-57],[4127-4178],['nsw'],[19320411-19340907],>50K
96_b,[11-54],[4207-4280],"['nsw', 'qld', 'vic']",[19231009-19290702],>50K
220_b,[11-54],[4207-4280],"['nsw', 'qld', 'vic']",[19231009-19290702],<=50K
398_b,[11-54],[4207-4280],"['nsw', 'qld', 'vic']",[19231009-19290702],>50K
964_b,[11-54],[4207-4280],"['nsw', 'qld', 'vic']",[19231009-19290702],<=50K
231_b,[13-49],[4303-4405],"['qld', 'vic', 'wa']",[19270529-19340129],<=50K
288_b,[13-49],[4303-4405],"['qld', 'vic', 'wa']",[19270529-19340129],<=50K
558_b,[13-49],[4303-4405],"['qld', 'vic', 'wa']",[19270529-19340129],<=50K
961_b,[13-49],[4303-4405],"['qld', 'vic', 'wa']",[19270529-19340129],>50K
582_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
589_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
616_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
732_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
867_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
999_b,[22-32],[4502-4680],"['nsw', 'qld', 'vic']",[19240721-19341104],<=50K
548_b,[17-32],[4715-4812],"['nsw', 'sa', 'vic']",[19250525-19250828],>50K
551_b,[17-32],[4715-4812],"['nsw', 'sa', 'vic']",[19250525-19250828],>50K
802_b,[17-32],[4715-4812],"['nsw', 'sa', 'vic']",[19250525-19250828],<=50K
11_b,[19-306],[5012-5041],"['qld', 'vic']",[19250615-19330121],<=50K
139_b,[19-306],[5012-5041],"['qld', 'vic']",[19250615-19330121],<=50K
249_b,[19-306],[5012-5041],"['qld', 'vic']",[19250615-19330121],<=50K
208_b,[4-78],[4870-4883],"['nsw', 'qld']",[19251024-19300123],<=50K
597_b,[4-78],[4870-4883],"['nsw', 'qld']",[19251024-19300123],<=50K
755_b,[4-78],[4870-4883],"['nsw', 'qld']",[19251024-19300123],<=50K
88_b,[21-164],[5072-5280],"['nsw', 'vic', 'wa']",[19231230-19350212],<=50K
157_b,[21-164],[5072-5280],"['nsw', 'vic', 'wa']",[19231230-19350212],<=50K
613_b,[21-164],[5072-5280],"['nsw', 'vic', 'wa']",[19231230-19350212],<=50K
676_b,[21-164],[5072-5280],"['nsw', 'vic', 'wa']",[19231230-19350212],<=50K
954_b,[21-164],[5072-5280],"['nsw', 'vic', 'wa']",[19231230-19350212],<=50K
63_b,[3-25],[5043-5082],"['nsw', 'vic']",[19280525-19300602],<=50K
488_b,[3-25],[5043-5082],"['nsw', 'vic']",[19280525-19300602],<=50K
918_b,[3-25],[5043-5082],"['nsw', 'vic']",[19280525-19300602],<=50K
156_b,[5-44],[5087-6112],"['nsw', 'vic']",[19260814-19360708],<=50K
197_b,[5-44],[5087-6112],"['nsw', 'vic']",[19260814-19360708],<=50K
421_b,[5-44],[5087-6112],"['nsw', 'vic']",[19260814-19360708],<=50K
874_b,[5-44],[5087-6112],"['nsw', 'vic']",[19260814-19360708],>50K
26_b,[6-80],[6062-7315],['vic'],[19310124-19350824],>50K
476_b,[6-80],[6062-7315],['vic'],[19310124-19350824],<=50K
976_b,[6-80],[6062-7315],['vic'],[19310124-19350824],<=50K
51_b,[4-18],[2132-2195],"['nsw', 'vic']",[19380405-19400312],<=50K
637_b,[4-18],[2132-2195],"['nsw', 'vic']",[19380405-19400312],<=50K
673_b,[4-18],[2132-2195],"['nsw', 'vic']",[19380405-19400312],<=50K
740_b,[4-18],[2132-2195],"['nsw', 'vic']",[19380405-19400312],<=50K
989_b,[4-18],[2132-2195],"['nsw', 'vic']",[19380405-19400312],>50K
124_b,[16-124],[2229-2400],"['nsw', 'nws', 'sa', 'vic']",[19370412-19400330],<=50K
183_b,[16-124],[2229-2400],"['nsw', 'nws', 'sa', 'vic']",[19370412-19400330],<=50K
299_b,[16-124],[2229-2400],"['nsw', 'nws', 'sa', 'vic']",[19370412-19400330],<=50K
661_b,[16-124],[2229-2400],"['nsw', 'nws', 'sa', 'vic']",[19370412-19400330],>50K
310_b,[6-67],[2046-2170],"['qld', 'tas']",[19380522-19400708],<=50K
419_b,[6-67],[2046-2170],"['qld', 'tas']",[19380522-19400708],<=50K
521_b,[6-67],[2046-2170],"['qld', 'tas']",[19380522-19400708],<=50K
990_b,[6-67],[2046-2170],"['qld', 'tas']",[19380522-19400708],<=50K
399_b,[62-79],[2224-2229],"['nsw', 'qld']",[19380817-19381111],<=50K
716_b,[62-79],[2224-2229],"['nsw', 'qld']",[19380817-19381111],<=50K
937_b,[62-79],[2224-2229],"['nsw', 'qld']",[19380817-19381111],<=50K
152_b,[14-8185],[2500-2706],"['nsw', 'sa', 'vic']",[19360919-19390207],<=50K
350_b,[14-8185],[2500-2706],"['nsw', 'sa', 'vic']",[19360919-19390207],<=50K
713_b,[14-8185],[2500-2706],"['nsw', 'sa', 'vic']",[19360919-19390207],>50K
851_b,[14-8185],[2500-2706],"['nsw', 'sa', 'vic']",[19360919-19390207],>50K
517_b,[7-8185],[2745-2821],"['nsw', 'vic', 'wa']",[19370123-19390207],<=50K
625_b,[7-8185],[2745-2821],"['nsw', 'vic', 'wa']",[19370123-19390207],<=50K
691_b,[7-8185],[2745-2821],"['nsw', 'vic', 'wa']",[19370123-19390207],<=50K
950_b,[7-8185],[2745-2821],"['nsw', 'vic', 'wa']",[19370123-19390207],<=50K
204_b,[1-26],[3047-3134],"['vic', 'wa']",[19361103-19381019],<=50K
258_b,[1-26],[3047-3134],"['vic', 'wa']",[19361103-19381019],<=50K
481_b,[1-26],[3047-3134],"['vic', 'wa']",[19361103-19381019],>50K
977_b,[1-26],[3047-3134],"['vic', 'wa']",[19361103-19381019],<=50K
41_b,[9-67],[2907-3137],"['nsw', 'qld']",[19380131-19400406],>50K
457_b,[9-67],[2907-3137],"['nsw', 'qld']",[19380131-19400406],<=50K
878_b,[9-67],[2907-3137],"['nsw', 'qld']",[19380131-19400406],>50K
942_b,[9-67],[2907-3137],"['nsw', 'qld']",[19380131-19400406],>50K
16_b,[3-362],[2101-3042],"['nsw', 'tas', 'vic', 'wa']",[19402704-19410904],<=50K
683_b,[3-362],[2101-3042],"['nsw', 'tas', 'vic', 'wa']",[19402704-19410904],<=50K
767_b,[3-362],[2101-3042],"['nsw', 'tas', 'vic', 'wa']",[19402704-19410904],<=50K
891_b,[3-362],[2101-3042],"['nsw', 'tas', 'vic', 'wa']",[19402704-19410904],<=50K
998_b,[3-362],[2101-3042],"['nsw', 'tas', 'vic', 'wa']",[19402704-19410904],<=50K
108_b,[6-48],[2040-3042],"['nsw', 'qld', 'tas']",[19420704-19440419],<=50K
289_b,[6-48],[2040-3042],"['nsw', 'qld', 'tas']",[19420704-19440419],>50K
504_b,[6-48],[2040-3042],"['nsw', 'qld', 'tas']",[19420704-19440419],<=50K
693_b,[6-48],[2040-3042],"['nsw', 'qld', 'tas']",[19420704-19440419],<=50K
35_b,[12-212],[2153-3094],"['nsw', 'qld', 'wa']",[19440502-19450621],<=50K
64_b,[12-212],[2153-3094],"['nsw', 'qld', 'wa']",[19440502-19450621],<=50K
66_b,[12-212],[2153-3094],"['nsw', 'qld', 'wa']",[19440502-19450621],<=50K
126_b,[12-212],[2153-3094],"['nsw', 'qld', 'wa']",[19440502-19450621],>50K
598_b,[5-53],[2166-2905],"['nsw', 'vic']",[19450712-19451208],<=50K
600_b,[5-53],[2166-2905],"['nsw', 'vic']",[19450712-19451208],<=50K
724_b,[5-53],[2166-2905],"['nsw', 'vic']",[19450712-19451208],<=50K
992_b,[5-53],[2166-2905],"['nsw', 'vic']",[19450712-19451208],<=50K
24_b,[13-112],[2118-2154],"['nsw', 'tas']",[19460321-19470617],<=50K
349_b,[13-112],[2118-2154],"['nsw', 'tas']",[19460321-19470617],<=50K
611_b,[13-112],[2118-2154],"['nsw', 'tas']",[19460321-19470617],<=50K
938_b,[13-112],[2118-2154],"['nsw', 'tas']",[19460321-19470617],>50K
460_b,[15-49],[2232-2303],"['nsw', 'vic']",[19460105-19470305],<=50K
660_b,[15-49],[2232-2303],"['nsw', 'vic']",[19460105-19470305],>50K
778_b,[15-49],[2232-2303],"['nsw', 'vic']",[19460105-19470305],<=50K
57_b,[10-64],[2606-2756],"['nsw', 'qld', 'vic']",[19460109-19461112],>50K
297_b,[10-64],[2606-2756],"['nsw', 'qld', 'vic']",[19460109-19461112],<=50K
473_b,[10-64],[2606-2756],"['nsw', 'qld', 'vic']",[19460109-19461112],<=50K
790_b,[10-64],[2606-2756],"['nsw', 'qld', 'vic']",[19460109-19461112],<=50K
322_b,[2-10],[3020-3106],"['nsw', 'qld']",[19460521-19460615],<=50K
387_b,[2-10],[3020-3106],"['nsw', 'qld']",[19460521-19460615],<=50K
748_b,[2-10],[3020-3106],"['nsw', 'qld']",[19460521-19460615],>50K
54_b,[4-320],[3153-3173],"['nsw', 'sa', 'vic']",[19371028-19460615],<=50K
164_b,[4-320],[3153-3173],"['nsw', 'sa', 'vic']",[19371028-19460615],>50K
298_b,[4-320],[3153-3173],"['nsw', 'sa', 'vic']",[19371028-19460615],<=50K
428_b,[4-320],[3153-3173],"['nsw', 'sa', 'vic']",[19371028-19460615],<=50K
997_b,[4-320],[3153-3173],"['nsw', 'sa', 'vic']",[19371028-19460615],<=50K
201_b,[4-16],[3182-3183],"['nsw', 'vic']",[19420313-19440613],<=50K
667_b,[4-16],[3182-3183],"['nsw', 'vic']",[19420313-19440613],<=50K
726_b,[4-16],[3182-3183],"['nsw', 'vic']",[19420313-19440613],<=50K
273_b,[1-80],[3205-3728],"['nsw', 'vic']",[19390405-19450221],<=50K
456_b,[1-80],[3205-3728],"['nsw', 'vic']",[19390405-19450221],<=50K
518_b,[1-80],[3205-3728],"['nsw', 'vic']",[19390405-19450221],<=50K
946_b,[1-80],[3205-3728],"['nsw', 'vic']",[19390405-19450221],<=50K
307_b,[8-121],[3782-3850],"['qld', 'vic']",[19390405-19450321],<=50K
423_b,[8-121],[3782-3850],"['qld', 'vic']",[19390405-19450321],<=50K
609_b,[8-121],[3782-3850],"['qld', 'vic']",[19390405-19450321],>50K
728_b,[8-121],[3782-3850],"['qld', 'vic']",[19390405-19450321],<=50K
5_b,[15-29],[4169-4514],"['nsw', 'sa', 'vic']",[19360816-19461118],<=50K
9_b,[15-29],[4169-4514],"['nsw', 'sa', 'vic']",[19360816-19461118],>50K
68_b,[15-29],[4169-4514],"['nsw', 'sa', 'vic']",[19360816-19461118],>50K
331_b,[15-29],[4169-4514],"['nsw', 'sa', 'vic']",[19360816-19461118],<=50K
104_b,[3-40],[3977-4220],"['nsw', 'vic']",[19401025-19451005],>50K
447_b,[3-40],[3977-4220],"['nsw', 'vic']",[19401025-19451005],<=50K
454_b,[3-40],[3977-4220],"['nsw', 'vic']",[19401025-19451005],<=50K
861_b,[3-40],[3977-4220],"['nsw', 'vic']",[19401025-19451005],<=50K
248_b,[6-58],[4122-4213],"['nsw', 'qld']",[19400316-19420210],<=50K
444_b,[6-58],[4122-4213],"['nsw', 'qld']",[19400316-19420210],<=50K
478_b,[6-58],[4122-4213],"['nsw', 'qld']",[19400316-19420210],<=50K
801_b,[6-58],[4122-4213],"['nsw', 'qld']",[19400316-19420210],>50K
308_b,[61-81],[4226-4350],['vic'],[19460712-19461101],<=50K
448_b,[61-81],[4226-4350],['vic'],[19460712-19461101],<=50K
776_b,[61-81],[4226-4350],['vic'],[19460712-19461101],<=50K
30_b,[2-172],[4551-6233],"['nsw', 'qld', 'vic', 'vid']",[19370501-19390210],<=50K
190_b,[2-172],[4551-6233],"['nsw', 'qld', 'vic', 'vid']",[19370501-19390210],>50K
341_b,[2-172],[4551-6233],"['nsw', 'qld', 'vic', 'vid']",[19370501-19390210],<=50K
941_b,[2-172],[4551-6233],"['nsw', 'qld', 'vic', 'vid']",[19370501-19390210],<=50K
228_b,[4-86],[5558-7053],"['nsw', 'qld', 'sa']",[19361127-19380905],<=50K
335_b,[4-86],[5558-7053],"['nsw', 'qld', 'sa']",[19361127-19380905],<=50K
348_b,[4-86],[5558-7053],"['nsw', 'qld', 'sa']",[19361127-19380905],<=50K
702_b,[4-86],[5558-7053],"['nsw', 'qld', 'sa']",[19361127-19380905],<=50K
73_b,[1-48],[4573-6208],"['nsw', 'vic', 'wa']",[19400329-19410622],<=50K
357_b,[1-48],[4573-6208],"['nsw', 'vic', 'wa']",[19400329-19410622],>50K
682_b,[1-48],[4573-6208],"['nsw', 'vic', 'wa']",[19400329-19410622],<=50K
887_b,[1-48],[4573-6208],"['nsw', 'vic', 'wa']",[19400329-19410622],<=50K
256_b,[1-47],[5044-6030],"['nsw', 'vic', 'wa']",[19411222-19421102],<=50K
446_b,[1-47],[5044-6030],"['nsw', 'vic', 'wa']",[19411222-19421102],<=50K
710_b,[1-47],[5044-6030],"['nsw', 'vic', 'wa']",[19411222-19421102],>50K
912_b,[1-47],[5044-6030],"['nsw', 'vic', 'wa']",[19411222-19421102],<=50K
79_b,[2-18],[5075-6450],"['nsw', 'vic', 'wa']",[19441213-19461029],<=50K
586_b,[2-18],[5075-6450],"['nsw', 'vic', 'wa']",[19441213-19461029],<=50K
701_b,[2-18],[5075-6450],"['nsw', 'vic', 'wa']",[19441213-19461029],>50K
877_b,[2-18],[5075-6450],"['nsw', 'vic', 'wa']",[19441213-19461029],<=50K
905_b,[2-18],[5075-6450],"['nsw', 'vic', 'wa']",[19441213-19461029],<=50K
106_b,[22-24],[4837-5690],"['msw', 'nsw', 'qld']",[19430818-19460420],<=50K
562_b,[22-24],[4837-5690],"['msw', 'nsw', 'qld']",[19430818-19460420],<=50K
876_b,[22-24],[4837-5690],"['msw', 'nsw', 'qld']",[19430818-19460420],<=50K
93_b,[4-304],[4670-6525],"['nsw', 'sa']",[19440720-19470715],<=50K
189_b,[4-304],[4670-6525],"['nsw', 'sa']",[19440720-19470715],>50K
531_b,[4-304],[4670-6525],"['nsw', 'sa']",[19440720-19470715],>50K
592_b,[4-304],[4670-6525],"['nsw', 'sa']",[19440720-19470715],<=50K
418_b,[8-68],[5051-5068],"['qld', 'sa']",[19421210-19440808],<=50K
674_b,[8-68],[5051-5068],"['qld', 'sa']",[19421210-19440808],<=50K
988_b,[8-68],[5051-5068],"['qld', 'sa']",[19421210-19440808],<=50K
193_b,[12-19],[2092-2161],"['nsw', 'vic']",[19470908-19501119],<=50K
279_b,[12-19],[2092-2161],"['nsw', 'vic']",[19470908-19501119],>50K
422_b,[12-19],[2092-2161],"['nsw', 'vic']",[19470908-19501119],>50K
743_b,[12-19],[2092-2161],"['nsw', 'vic']",[19470908-19501119],<=50K
76_b,[32-65],[2038-2576],"['act', 'nsw', 'qld', 'sa']",[19480425-19510715],<=50K
240_b,[32-65],[2038-2576],"['act', 'nsw', 'qld', 'sa']",[19480425-19510715],<=50K
330_b,[32-65],[2038-2576],"['act', 'nsw', 'qld', 'sa']",[19480425-19510715],<=50K
996_b,[32-65],[2038-2576],"['act', 'nsw', 'qld', 'sa']",[19480425-19510715],<=50K
62_b,[12-16],[2106-2222],"['nsw', 'wa']",[19520401-19540515],>50K
141_b,[12-16],[2106-2222],"['nsw', 'wa']",[19520401-19540515],>50K
612_b,[12-16],[2106-2222],"['nsw', 'wa']",[19520401-19540515],<=50K
967_b,[12-16],[2106-2222],"['nsw', 'wa']",[19520401-19540515],<=50K
1_b,[17-68],[2038-2570],"['nsw', 'vic', 'vix']",[19510906-19530505],<=50K
140_b,[17-68],[2038-2570],"['nsw', 'vic', 'vix']",[19510906-19530505],>50K
158_b,[17-68],[2038-2570],"['nsw', 'vic', 'vix']",[19510906-19530505],<=50K
564_b,[17-68],[2038-2570],"['nsw', 'vic', 'vix']",[19510906-19530505],<=50K
12_b,[25-221],[2065-2199],"['sa', 'vic']",[19540826-19620521],<=50K
101_b,[25-221],[2065-2199],"['sa', 'vic']",[19540826-19620521],>50K
530_b,[25-221],[2065-2199],"['sa', 'vic']",[19540826-19620521],<=50K
785_b,[25-221],[2065-2199],"['sa', 'vic']",[19540826-19620521],>50K
319_b,[3-89],[2135-2147],"['nsw', 'sa', 'wa']",[19570201-19610102],<=50K
394_b,[3-89],[2135-2147],"['nsw', 'sa', 'wa']",[19570201-19610102],<=50K
483_b,[3-89],[2135-2147],"['nsw', 'sa', 'wa']",[19570201-19610102],<=50K
959_b,[3-89],[2135-2147],"['nsw', 'sa', 'wa']",[19570201-19610102],<=50K
136_b,[15-25],[2208-2210],"['nsw', 'qld']",[19561117-19601231],<=50K
237_b,[15-25],[2208-2210],"['nsw', 'qld']",[19561117-19601231],<=50K
602_b,[15-25],[2208-2210],"['nsw', 'qld']",[19561117-19601231],<=50K
968_b,[15-25],[2208-2210],"['nsw', 'qld']",[19561117-19601231],<=50K
144_b,[27-87],[2233-2536],"['nsw', 'vic']",[19550203-19620207],<=50K
458_b,[27-87],[2233-2536],"['nsw', 'vic']",[19550203-19620207],<=50K
659_b,[27-87],[2233-2536],"['nsw', 'vic']",[19550203-19620207],<=50K
727_b,[27-87],[2233-2536],"['nsw', 'vic']",[19550203-19620207],<=50K
230_b,[10-14],[2615-2835],"['nsw', 'qld', 'vic']",[19501111-19590829],<=50K
552_b,[10-14],[2615-2835],"['nsw', 'qld', 'vic']",[19501111-19590829],<=50K
578_b,[10-14],[2615-2835],"['nsw', 'qld', 'vic']",[19501111-19590829],<=50K
733_b,[10-14],[2615-2835],"['nsw', 'qld', 'vic']",[19501111-19590829],<=50K
914_b,[10-14],[2615-2835],"['nsw', 'qld', 'vic']",[19501111-19590829],<=50K
40_b,[2-19],[2604-2763],"['nsw', 'vic']",[19480101-19560823],>50K
700_b,[2-19],[2604-2763],"['nsw', 'vic']",[19480101-19560823],>50K
799_b,[2-19],[2604-2763],"['nsw', 'vic']",[19480101-19560823],>50K
804_b,[2-19],[2604-2763],"['nsw', 'vic']",[19480101-19560823],<=50K
21_b,[3-34],[2594-2851],"['nsw', 'qld', 'vic']",[19510713-19610622],<=50K
176_b,[3-34],[2594-2851],"['nsw', 'qld', 'vic']",[19510713-19610622],<=50K
250_b,[3-34],[2594-2851],"['nsw', 'qld', 'vic']",[19510713-19610622],>50K
669_b,[3-34],[2594-2851],"['nsw', 'qld', 'vic']",[19510713-19610622],>50K
121_b,[8-58],[2680-2834],"['qld', 'sa', 'wa']",[19481101-19550621],>50K
135_b,[8-58],[2680-2834],"['qld', 'sa', 'wa']",[19481101-19550621],<=50K
605_b,[8-58],[2680-2834],"['qld', 'sa', 'wa']",[19481101-19550621],<=50K
167_b,[2-47],[3011-3095],"['nsw', 'vic']",[19550812-19580116],<=50K
556_b,[2-47],[3011-3095],"['nsw', 'vic']",[19550812-19580116],<=50K
570_b,[2-47],[3011-3095],"['nsw', 'vic']",[19550812-19580116],<=50K
722_b,[2-47],[3011-3095],"['nsw', 'vic']",[19550812-19580116],>50K
952_b,[2-47],[3011-3095],"['nsw', 'vic']",[19550812-19580116],<=50K
148_b,[4-545],[3135-3138],"['nsw', 'qld']",[19541005-19610313],<=50K
388_b,[4-545],[3135-3138],"['nsw', 'qld']",[19541005-19610313],>50K
880_b,[4-545],[3135-3138],"['nsw', 'qld']",[19541005-19610313],<=50K
102_b,[4-582],[3147-3196],"['nsw', 'sa']",[19521130-19541004],>50K
153_b,[4-582],[3147-3196],"['nsw', 'sa']",[19521130-19541004],<=50K
632_b,[4-582],[3147-3196],"['nsw', 'sa']",[19521130-19541004],<=50K
775_b,[4-582],[3147-3196],"['nsw', 'sa']",[19521130-19541004],<=50K
352_b,[4-14],[3188-3199],"['qld', 'sa']",[19550309-19580101],<=50K
608_b,[4-14],[3188-3199],"['qld', 'sa']",[19550309-19580101],<=50K
925_b,[4-14],[3188-3199],"['qld', 'sa']",[19550309-19580101],<=50K
287_b,[2-21],[4006-4064],"['sa', 'tas', 'vic']",[19540205-19601115],<=50K
631_b,[2-21],[4006-4064],"['sa', 'tas', 'vic']",[19540205-19601115],<=50K
838_b,[2-21],[4006-4064],"['sa', 'tas', 'vic']",[19540205-19601115],<=50K
913_b,[2-21],[4006-4064],"['sa', 'tas', 'vic']",[19540205-19601115],>50K
294_b,[3-351],[3201-4061],"['nsw', 'sa', 'vic']",[19470901-19601115],<=50K
300_b,[3-351],[3201-4061],"['nsw', 'sa', 'vic']",[19470901-19601115],<=50K
553_b,[3-351],[3201-4061],"['nsw', 'sa', 'vic']",[19470901-19601115],>50K
639_b,[3-351],[3201-4061],"['nsw', 'sa', 'vic']",[19470901-19601115],<=50K
161_b,[5-44],[3282-4066],"['qld', 'vic', 'wa']",[19500420-19510826],>50K
305_b,[5-44],[3282-4066],"['qld', 'vic', 'wa']",[19500420-19510826],<=50K
584_b,[5-44],[3282-4066],"['qld', 'vic', 'wa']",[19500420-19510826],<=50K
847_b,[5-44],[3282-4066],"['qld', 'vic', 'wa']",[19500420-19510826],>50K
95_b,[7-86],[3630-4005],"['nsw', 'qld', 'tas']",[19490706-19610318],<=50K
295_b,[7-86],[3630-4005],"['nsw', 'qld', 'tas']",[19490706-19610318],<=50K
353_b,[7-86],[3630-4005],"['nsw', 'qld', 'tas']",[19490706-19610318],<=50K
871_b,[7-86],[3630-4005],"['nsw', 'qld', 'tas']",[19490706-19610318],>50K
286_b,[2-73],[4067-4214],"['nsw', 'vic']",[19490705-19571204],>50K
607_b,[2-73],[4067-4214],"['nsw', 'vic']",[19490705-19571204],<=50K
656_b,[2-73],[4067-4214],"['nsw', 'vic']",[19490705-19571204],<=50K
817_b,[2-73],[4067-4214],"['nsw', 'vic']",[19490705-19571204],<=50K
115_b,[17-679],[4241-4670],"['nsw', 'vic', 'wa']",[19510905-19541124],>50K
427_b,[17-679],[4241-4670],"['nsw', 'vic', 'wa']",[19510905-19541124],<=50K
803_b,[17-679],[4241-4670],"['nsw', 'vic', 'wa']",[19510905-19541124],<=50K
991_b,[17-679],[4241-4670],"['nsw', 'vic', 'wa']",[19510905-19541124],<=50K
202_b,[20-159],[4218-4510],"['nsw', 'sic']",[19580212-19600814],<=50K
374_b,[20-159],[4218-4510],"['nsw', 'sic']",[19580212-19600814],>50K
440_b,[20-159],[4218-4510],"['nsw', 'sic']",[19580212-19600814],<=50K
849_b,[20-159],[4218-4510],"['nsw', 'sic']",[19580212-19600814],<=50K
80_b,[9-34],[4575-4670],"['nsw', 'sa']",[19600502-19620420],>50K
687_b,[9-34],[4575-4670],"['nsw', 'sa']",[19600502-19620420],<=50K
979_b,[9-34],[4575-4670],"['nsw', 'sa']",[19600502-19620420],<=50K
36_b,[11-14],[4740-4868],"['nsw', 'sa', 'vic']",[19501114-19590328],<=50K
155_b,[11-14],[4740-4868],"['nsw', 'sa', 'vic']",[19501114-19590328],>50K
515_b,[11-14],[4740-4868],"['nsw', 'sa', 'vic']",[19501114-19590328],<=50K
788_b,[11-14],[4740-4868],"['nsw', 'sa', 'vic']",[19501114-19590328],<=50K
815_b,[11-14],[4740-4868],"['nsw', 'sa', 'vic']",[19501114-19590328],<=50K
378_b,[5-378],[4740-5039],"['nsw', 'qld', 'tas']",[19480518-19590328],<=50K
617_b,[5-378],[4740-5039],"['nsw', 'qld', 'tas']",[19480518-19590328],<=50K
672_b,[5-378],[4740-5039],"['nsw', 'qld', 'tas']",[19480518-19590328],>50K
897_b,[5-378],[4740-5039],"['nsw', 'qld', 'tas']",[19480518-19590328],>50K
132_b,[1-378],[5049-5109],"['tas', 'vic']",[19480518-19610916],<=50K
545_b,[1-378],[5049-5109],"['tas', 'vic']",[19480518-19610916],<=50K
756_b,[1-378],[5049-5109],"['tas', 'vic']",[19480518-19610916],<=50K
793_b,[1-378],[5049-5109],"['tas', 'vic']",[19480518-19610916],<=50K
37_b,[5-36],[5290-5540],"['qld', 'vic']",[19510103-19531201],<=50K
620_b,[5-36],[5290-5540],"['qld', 'vic']",[19510103-19531201],<=50K
860_b,[5-36],[5290-5540],"['qld', 'vic']",[19510103-19531201],<=50K
90_b,[15-101],[6026-6210],"['nsw', 'sa', 'sk', 'vic']",[19490615-19611221],<=50K
311_b,[15-101],[6026-6210],"['nsw', 'sa', 'sk', 'vic']",[19490615-19611221],<=50K
360_b,[15-101],[6026-6210],"['nsw', 'sa', 'sk', 'vic']",[19490615-19611221],<=50K
736_b,[15-101],[6026-6210],"['nsw', 'sa', 'sk', 'vic']",[19490615-19611221],<=50K
166_b,[4-57],[6056-6210],"['nsw', 'tas', 'wa']",[19480129-19590205],<=50K
174_b,[4-57],[6056-6210],"['nsw', 'tas', 'wa']",[19480129-19590205],<=50K
293_b,[4-57],[6056-6210],"['nsw', 'tas', 'wa']",[19480129-19590205],>50K
571_b,[4-57],[6056-6210],"['nsw', 'tas', 'wa']",[19480129-19590205],<=50K
247_b,[4-95],[6302-7173],"['nsw', 'qld', 'vic']",[19480413-19550519],<=50K
406_b,[4-95],[6302-7173],"['nsw', 'qld', 'vic']",[19480413-19550519],<=50K
497_b,[4-95],[6302-7173],"['nsw', 'qld', 'vic']",[19480413-19550519],>50K
888_b,[4-95],[6302-7173],"['nsw', 'qld', 'vic']",[19480413-19550519],<=50K
116_b,[5-639],[7250-7320],"['qld', 'sa', 'vic']",[19480423-19560926],<=50K
125_b,[5-639],[7250-7320],"['qld', 'sa', 'vic']",[19480423-19560926],<=50K
455_b,[5-639],[7250-7320],"['qld', 'sa', 'vic']",[19480423-19560926],<=50K
107_b,[1-17],[1245-2204],"['tas', 'vic']",[19690824-19730903],<=50K
263_b,[1-17],[1245-2204],"['tas', 'vic']",[19690824-19730903],<=50K
346_b,[1-17],[1245-2204],"['tas', 'vic']",[19690824-19730903],<=50K
470_b,[1-17],[1245-2204],"['tas', 'vic']",[19690824-19730903],<=50K
768_b,[1-17],[1245-2204],"['tas', 'vic']",[19690824-19730903],>50K
296_b,[21-251],[2038-2229],"['nsw', 'qld']",[19631227-19690906],>50K
373_b,[21-251],[2038-2229],"['nsw', 'qld']",[19631227-19690906],<=50K
583_b,[21-251],[2038-2229],"['nsw', 'qld']",[19631227-19690906],<=50K
